Date,Country/Region,New cases/1M
2020-02-09 00:00:00,Denmark,0
2020-02-09 00:00:00,Germany,0.012224601577924678
2020-02-09 00:00:00,Italy,0
2020-02-09 00:00:00,"Korea, South",0.020651495197164367
2020-02-09 00:00:00,Spain,0.02150261892222294
2020-02-09 00:00:00,Sweden,0
2020-02-09 00:00:00,US,0
2020-02-10 00:00:00,China,0.05996611823185981
2020-02-10 00:00:00,Denmark,0
2020-02-10 00:00:00,Germany,0
2020-02-10 00:00:00,Italy,0
2020-02-10 00:00:00,"Korea, South",0.041302990394328734
2020-02-10 00:00:00,Spain,0
2020-02-10 00:00:00,Sweden,0
2020-02-10 00:00:00,US,0
2020-02-11 00:00:00,China,0.04857437844617216
2020-02-11 00:00:00,Denmark,0
2020-02-11 00:00:00,Germany,0.024449203155849357
2020-02-11 00:00:00,Italy,0
2020-02-11 00:00:00,"Korea, South",0.020651495197164367
2020-02-11 00:00:00,Spain,0
2020-02-11 00:00:00,Sweden,0
2020-02-11 00:00:00,US,0.0032233851382791772
2020-02-12 00:00:00,China,0.008612155277979868
2020-02-12 00:00:00,Denmark,0
2020-02-12 00:00:00,Germany,0
2020-02-12 00:00:00,Italy,0
2020-02-12 00:00:00,"Korea, South",0
2020-02-12 00:00:00,Spain,0
2020-02-12 00:00:00,Sweden,0
2020-02-12 00:00:00,US,0
2020-02-13 00:00:00,China,0.3505921836443233
2020-02-13 00:00:00,Denmark,0
2020-02-13 00:00:00,Germany,0
2020-02-13 00:00:00,Italy,0
2020-02-13 00:00:00,"Korea, South",0
2020-02-13 00:00:00,Spain,0
2020-02-13 00:00:00,Sweden,0
2020-02-13 00:00:00,US,0.0032233851382791772
2020-02-14 00:00:00,China,0.15071271736464767
2020-02-14 00:00:00,Denmark,0
2020-02-14 00:00:00,Germany,0
2020-02-14 00:00:00,Italy,0
2020-02-14 00:00:00,"Korea, South",0
2020-02-14 00:00:00,Spain,0
2020-02-14 00:00:00,Sweden,0
2020-02-14 00:00:00,US,0
2020-02-15 00:00:00,China,0.05005530461831156
2020-02-15 00:00:00,Denmark,0
2020-02-15 00:00:00,Germany,0
2020-02-15 00:00:00,Italy,0
2020-02-15 00:00:00,"Korea, South",0
2020-02-15 00:00:00,Spain,0
2020-02-15 00:00:00,Sweden,0
2020-02-15 00:00:00,US,0
2020-02-16 00:00:00,China,0.05019200549573981
2020-02-16 00:00:00,Denmark,0
2020-02-16 00:00:00,Germany,0
2020-02-16 00:00:00,Italy,0
2020-02-16 00:00:00,"Korea, South",0.020651495197164367
2020-02-16 00:00:00,Spain,0
2020-02-16 00:00:00,Sweden,0
2020-02-16 00:00:00,US,0
2020-02-17 00:00:00,China,0.04599984525460675
2020-02-17 00:00:00,Denmark,0
2020-02-17 00:00:00,Germany,0
2020-02-17 00:00:00,Italy,0
2020-02-17 00:00:00,"Korea, South",0.020651495197164367
2020-02-17 00:00:00,Spain,0
2020-02-17 00:00:00,Sweden,0
2020-02-17 00:00:00,US,0
2020-02-18 00:00:00,China,0.0436531468587551
2020-02-18 00:00:00,Denmark,0
2020-02-18 00:00:00,Germany,0
2020-02-18 00:00:00,Italy,0
2020-02-18 00:00:00,"Korea, South",0.020651495197164367
2020-02-18 00:00:00,Spain,0
2020-02-18 00:00:00,Sweden,0
2020-02-18 00:00:00,US,0
2020-02-19 00:00:00,China,0.011870192856686538
2020-02-19 00:00:00,Denmark,0
2020-02-19 00:00:00,Germany,0
2020-02-19 00:00:00,Italy,0
2020-02-19 00:00:00,"Korea, South",0
2020-02-19 00:00:00,Spain,0
2020-02-19 00:00:00,Sweden,0
2020-02-19 00:00:00,US,0
2020-02-20 00:00:00,China,0.013214418151397681
2020-02-20 00:00:00,Denmark,0
2020-02-20 00:00:00,Germany,0
2020-02-20 00:00:00,Italy,0
2020-02-20 00:00:00,"Korea, South",1.5282106445901633
2020-02-20 00:00:00,Spain,0
2020-02-20 00:00:00,Sweden,0
2020-02-20 00:00:00,US,0
2020-02-21 00:00:00,China,0.010776585837260521
2020-02-21 00:00:00,Denmark,0
2020-02-21 00:00:00,Germany,0
2020-02-21 00:00:00,Italy,0.2983079574907183
2020-02-21 00:00:00,"Korea, South",2.0858010149136015
2020-02-21 00:00:00,Spain,0
2020-02-21 00:00:00,Sweden,0
2020-02-21 00:00:00,US,0.0064467702765583544
2020-02-22 00:00:00,China,0.03772944217019752
2020-02-22 00:00:00,Denmark,0
2020-02-22 00:00:00,Germany,0
2020-02-22 00:00:00,Italy,0.712624565116716
2020-02-22 00:00:00,"Korea, South",4.729192400150641
2020-02-22 00:00:00,Spain,0
2020-02-22 00:00:00,Sweden,0
2020-02-22 00:00:00,US,0
2020-02-23 00:00:00,China,0.0005240200301416321
2020-02-23 00:00:00,Denmark,0
2020-02-23 00:00:00,Germany,0
2020-02-23 00:00:00,Italy,1.5578304446737512
2020-02-23 00:00:00,"Korea, South",3.5727086691094354
2020-02-23 00:00:00,Spain,0
2020-02-23 00:00:00,Sweden,0
2020-02-23 00:00:00,US,0
2020-02-24 00:00:00,China,0.00840710396183749
2020-02-24 00:00:00,Denmark,0
2020-02-24 00:00:00,Germany,0
2020-02-24 00:00:00,Italy,1.2926678157931126
2020-02-24 00:00:00,"Korea, South",4.8117983809392975
2020-02-24 00:00:00,Spain,0
2020-02-24 00:00:00,Sweden,0
2020-02-24 00:00:00,US,0.11604186497805037
2020-02-25 00:00:00,China,0.013282768590111807
2020-02-25 00:00:00,Denmark,0
2020-02-25 00:00:00,Germany,0.012224601577924678
2020-02-25 00:00:00,Italy,1.590975773283831
2020-02-25 00:00:00,"Korea, South",3.015118298785998
2020-02-25 00:00:00,Spain,0.08601047568889177
2020-02-25 00:00:00,Sweden,0
2020-02-25 00:00:00,US,0
2020-02-26 00:00:00,China,0.010571534521118144
2020-02-26 00:00:00,Denmark,0
2020-02-26 00:00:00,Germany,0.12224601577924678
2020-02-26 00:00:00,Italy,2.2041643525703076
2020-02-26 00:00:00,"Korea, South",5.906327626389009
2020-02-26 00:00:00,Spain,0.1505183324555606
2020-02-26 00:00:00,Sweden,0.10174332093251824
2020-02-26 00:00:00,US,0.01934031082967506
2020-02-27 00:00:00,China,0.010548751041546768
2020-02-27 00:00:00,Denmark,0.060782883539995135
2020-02-27 00:00:00,Germany,0.23226742998056887
2020-02-27 00:00:00,Italy,3.430541511143261
2020-02-27 00:00:00,"Korea, South",10.449656569765171
2020-02-27 00:00:00,Spain,0.04300523784444588
2020-02-27 00:00:00,Sweden,0.5087166046625912
2020-02-27 00:00:00,US,0.0032233851382791772
2020-02-28 00:00:00,China,0.008475454400551617
2020-02-28 00:00:00,Denmark,0
2020-02-28 00:00:00,Germany,0.024449203155849357
2020-02-28 00:00:00,Italy,3.927721440294458
2020-02-28 00:00:00,"Korea, South",11.792003757580854
2020-02-28 00:00:00,Spain,0.36554452167779
2020-02-28 00:00:00,Sweden,0
2020-02-28 00:00:00,US,0.0064467702765583544
2020-02-29 00:00:00,China,0.010822152796403273
2020-02-29 00:00:00,Denmark,0.12156576707999027
2020-02-29 00:00:00,Germany,0.378962648915665
2020-02-29 00:00:00,Italy,4.110020747649896
2020-02-29 00:00:00,"Korea, South",16.851620080886125
2020-02-29 00:00:00,Spain,0.27953404598889825
2020-02-29 00:00:00,Sweden,0.5087166046625912
2020-02-29 00:00:00,US,0.029010466244512593
2020-03-01 00:00:00,China,0.013920706018110313
2020-03-01 00:00:00,Denmark,0.060782883539995135
2020-03-01 00:00:00,Germany,0.6234546804741585
2020-03-01 00:00:00,Italy,9.462991318177787
2020-03-01 00:00:00,"Korea, South",12.122427680735484
2020-03-01 00:00:00,Spain,0.8386021379666947
2020-03-01 00:00:00,Sweden,0.20348664186503648
2020-03-01 00:00:00,US,0.01934031082967506
2020-03-02 00:00:00,China,0.005604735974558326
2020-03-02 00:00:00,Denmark,0
2020-03-02 00:00:00,Germany,0.35451344575981564
2020-03-02 00:00:00,Italy,5.966159149814366
2020-03-02 00:00:00,"Korea, South",12.597412070270265
2020-03-02 00:00:00,Spain,0.7740942812000259
2020-03-02 00:00:00,Sweden,0.10174332093251824
2020-03-02 00:00:00,US,0.09347816901009613
2020-03-03 00:00:00,China,0.003599789772277299
