Country,Men,Women,Gap
Italy,9.1,11.1,-2
France,8.5,8.4,0.1
Canada,6,5.2,0.8
United Kingdom,4.1,3.6,0.5
United States,3.7,3.6,0.1
Germany,3.5,2.7,0.8
Japan,2.5,2.2,0.3
