Fire count,state,year,Max
6512,AMAZONAS,2013,
9008,AMAZONAS,2014,
11173,AMAZONAS,2016,
11446,AMAZONAS,2018,
11685,AMAZONAS,2017,
12665,AMAZONAS,2019,
13419,AMAZONAS,2015,MAX
