Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2016-04-14,1730,4865,3.42,30,1282,150,6,2,495
2016-04-15,1677,4155,2.92,14,1309,131,0,0,416
2016-04-16,2149,13616,9.56,22,1158,191,52,39,1031
2016-04-17,2030,10923,7.67,17,1207,162,25,46,861
2016-04-18,1782,6031,4.23,16,1284,156,0,0,540
2016-04-19,1859,10377,7.28,16,1243,188,9,0,658
2016-04-20,1824,7046,4.95,25,1284,126,17,13,585
2016-04-21,1699,4795,3.37,21,1322,118,0,0,420
2016-04-22,1806,7528,5.28,30,1292,121,19,8,554
2016-04-23,2161,13439,10.57,16,888,110,32,68,969
2016-04-24,2066,10723,8.93,16,1247,122,20,51,859
2016-04-25,1846,7519,5.28,23,1271,132,25,12,612
2016-04-26,1909,8199,5.76,16,1203,215,16,6,740
2016-04-27,1839,5860,4.11,5,1219,221,0,0,653
2016-04-28,1983,7807,5.54,12,1222,197,12,9,791
2016-04-29,1825,7195,5.05,23,1306,100,15,19,549
2016-04-30,1478,315,0.22,0,1395,45,0,0,112
2016-05-01,1762,5563,3.91,5,1283,129,23,5,506
2016-05-02,1977,9399,6.6,42,1231,175,30,4,771
2016-05-03,1864,6235,4.38,12,1227,193,15,5,661
2016-05-04,2141,12024,9.85,3,1238,141,11,50,930
2016-05-05,1833,6428,4.51,9,1267,160,9,4,595
2016-05-06,2234,12797,8.98,9,1149,209,43,39,1112
2016-05-07,1985,8841,6.21,8,1233,176,17,14,781
2016-05-08,1779,6282,4.41,6,1273,142,21,4,536
2016-05-09,1689,4939,3.47,2,1297,143,0,0,423
2016-05-10,1864,9659,6.78,5,1267,143,15,15,626
2016-05-11,1975,9054,6.36,17,1231,200,4,5,773
2016-05-12,2082,11871,8.33,11,1205,166,48,21,905
2016-05-13,1838,6227,4.37,1,1214,226,0,0,653
2016-05-14,1787,5880,4.13,5,1265,149,15,11,552
2016-05-15,2023,10448,7.33,40,1205,191,29,15,846
2016-05-16,2058,9453,6.64,10,1230,160,22,28,857
2016-05-17,2002,9768,6.86,18,1207,180,32,21,823
2016-05-18,1852,8222,5.77,12,1253,161,22,4,628
2016-05-19,1940,9097,6.39,10,1216,189,23,12,752
2016-05-20,1861,6367,4.47,11,1224,204,12,0,666
2016-05-21,1612,2297,1.61,14,1336,104,0,0,308
2016-05-22,1791,4348,3.05,8,1282,142,4,12,540
2016-05-23,1774,6963,4.89,21,1299,113,18,10,507
2016-05-24,2078,9477,6.65,19,1246,142,24,28,864
2016-05-25,1875,7602,5.34,15,1244,172,24,0,659
2016-05-26,1743,4580,3.22,5,1301,139,0,0,470
2016-05-27,1936,8713,6.12,14,1241,149,34,16,722
2016-05-28,1987,6461,4.54,16,1219,180,12,29,794
2016-05-29,1872,4619,3.24,11,1226,214,0,0,672
2016-05-30,2040,8014,5.8,11,1222,160,26,32,844
2016-05-31,1801,6659,4.7,25,1297,117,14,12,529
2016-06-01,2028,10716,7.52,41,1222,183,19,16,833
2016-06-02,2150,10046,7.05,51,1173,235,14,18,1005
2016-06-03,1815,6362,4.47,21,1280,138,14,8,562
2016-06-04,1847,5380,3.78,18,1249,191,0,0,623
2016-06-05,2195,12683,8.9,14,1129,279,19,13,1088
2016-06-06,1790,6895,4.84,13,1300,115,20,5,514
2016-06-07,1971,10175,7.14,29,1233,172,34,1,761
2016-06-08,2001,7245,5.09,15,1237,181,19,3,787
2016-06-09,2121,11710,8.22,51,1200,200,22,18,943
2016-06-10,2116,12848,9.02,23,1181,197,34,28,957
2016-06-11,1713,4941,3.47,12,1309,118,11,2,428
2016-06-12,1704,2591,1.82,16,1307,133,0,0,420
2016-06-13,2029,9318,6.54,23,1202,222,7,9,844
2016-06-14,1825,5848,4.13,17,1264,163,7,6,578
2016-06-15,2013,6920,4.86,24,1252,173,9,6,777
2016-06-16,1745,5316,3.73,18,1331,101,4,4,428
2016-06-17,1864,5509,3.87,23,1271,151,13,5,607
2016-06-18,1715,3184,2.24,13,1303,137,0,0,425
2016-06-19,2059,10051,7.06,19,1168,213,48,11,903
2016-06-20,1949,8893,6.24,24,1244,182,13,1,722
2016-06-21,1716,4634,3.25,28,1314,126,0,0,423
2016-06-22,1716,4387,3.08,21,1314,126,0,0,430
2016-06-23,1726,4416,3.1,11,1286,154,0,0,473
2016-06-24,1820,6638,4.66,25,1279,139,10,12,574
2016-06-25,1627,2347,1.65,14,1328,112,0,0,335
2016-06-26,1650,3956,2.78,17,1329,111,0,0,352
2016-06-27,1821,4943,3.47,16,1308,132,0,0,541
2016-06-28,2007,9805,6.88,22,1217,183,18,22,818
2016-06-29,1678,3935,2.76,12,1332,108,0,0,379
2016-06-30,1936,6892,4.84,21,1225,215,0,0,741
2016-07-01,1897,5800,4.07,22,1265,162,10,3,662
2016-07-02,2269,15215,10.68,26,1156,189,55,40,1143
2016-07-03,2277,13691,9.61,18,1164,149,89,38,1144
2016-07-04,2134,11779,8.27,16,1206,135,46,53,962
2016-07-05,1852,10140,7.12,20,1259,130,51,0,625
2016-07-06,1881,10387,7.29,24,1250,160,19,11,662
2016-07-07,1832,10134,7.11,20,1259,157,14,10,602
2016-07-08,1961,11871,8.33,21,1256,108,56,20,742
2016-07-09,1857,7421,5.21,11,1214,208,18,0,686
2016-07-10,1978,11646,8.18,13,1188,221,31,0,826
2016-07-11,1745,4128,2.9,14,1275,165,0,0,507
2016-07-12,2163,11404,8.01,19,1088,335,14,3,1105
2016-07-13,2033,10371,7.28,26,1162,243,28,7,903
2016-07-14,1867,6987,4.9,25,1255,163,9,13,644
2016-07-15,1695,3547,2.49,7,1297,143,0,0,429
2016-07-16,1772,7684,5.39,13,1250,190,0,0,552
2016-07-17,2329,15040,10.56,22,1115,224,72,29,1239
2016-07-18,1754,4183,2.94,12,1285,145,9,1,499
2016-07-19,1974,9440,6.63,34,1227,181,18,14,775
2016-07-20,1886,6031,4.23,12,1229,211,0,0,685
2016-07-21,2068,6256,4.39,20,1138,271,24,7,957
2016-07-22,2526,15399,10.81,94,741,204,35,97,1447
2016-07-23,2501,18963,13.31,238,536,134,114,58,1393
2016-07-24,2251,10102,7.09,23,1103,281,45,11,1173
2016-07-25,1868,4856,3.41,17,1209,222,8,1,687
2016-07-26,1812,7152,5.02,12,1241,199,0,0,599
2016-07-27,1854,6603,4.64,19,1260,153,19,8,623
2016-07-28,1724,4655,3.27,13,1321,119,0,0,433
2016-07-29,1686,3349,2.35,9,1312,128,0,0,402
2016-07-30,2332,14318,11.13,18,1185,172,17,66,1176
2016-07-31,1721,2654,1.86,19,1267,173,0,0,487
2016-08-01,2076,11723,8.23,29,1211,171,42,16,897
2016-08-02,1950,11674,8.2,38,1234,160,30,16,749
2016-08-03,1668,3436,2.41,10,1320,120,0,0,384
2016-08-04,1988,11589,8.14,27,1239,133,52,16,783
2016-08-05,2295,15483,12.69,22,1197,177,0,66,1131
2016-08-06,2859,21560,15.14,220,1072,185,26,157,1817
2016-08-07,2086,10244,7.19,11,1224,133,30,53,891
2016-08-08,1661,3748,2.63,18,1328,112,0,0,362
2016-08-09,1669,3614,2.54,19,1331,101,6,2,363
2016-08-10,1601,2699,1.89,17,1356,84,0,0,272
2016-08-11,1800,6844,4.8,23,1301,110,21,8,527
2016-08-12,1686,4206,2.95,18,1321,119,0,0,396
2016-08-13,2151,12917,10.77,11,1036,114,11,65,931
2016-08-14,2319,14238,11.66,31,687,149,36,68,1163
2016-08-15,1854,5830,4.09,19,1299,116,11,14,581
2016-08-16,1866,5810,4.08,12,1293,124,8,15,595
2016-08-17,2821,18724,13.14,153,1128,148,34,130,1711
2016-08-18,1768,5056,3.55,17,1304,119,10,7,485
2016-08-19,1806,7006,4.92,17,1280,134,18,8,548
2016-08-20,2501,13920,9.77,101,1147,180,31,82,1374
2016-08-21,1684,2273,1.6,11,1323,117,0,0,383
2016-08-22,1787,4870,3.42,19,1273,167,0,0,535
2016-08-23,1727,3984,2.8,20,1313,127,0,0,435
2016-08-24,1776,5877,4.13,17,1300,114,10,16,503
2016-08-25,1748,5866,4.12,24,1317,98,13,12,466
2016-08-26,1774,5450,3.83,20,1283,157,0,0,525
2016-08-27,2205,13247,10.94,17,1229,141,6,64,1009
2016-08-28,2199,12488,8.77,9,1223,103,31,83,1006
2016-08-29,2135,13592,11.18,17,1252,118,8,62,911
2016-08-30,2007,10143,7.12,16,1242,122,35,41,794
2016-08-31,1822,10394,7.3,10,1256,184,0,0,596
2016-09-01,1875,10405,7.3,23,1261,145,19,15,644
2016-09-02,1876,11672,8.19,25,1232,180,24,4,677
2016-09-03,2219,14130,11.56,21,1221,137,11,71,1033
2016-09-04,1873,12371,8.68,12,1233,154,53,0,673
2016-09-05,2223,14100,11.62,16,1218,139,12,71,1035
2016-09-06,1964,10134,7.14,31,1241,160,22,17,754
2016-09-07,1895,10120,7.1,20,1246,166,28,0,679
2016-09-08,2235,15067,12.31,14,1223,124,22,71,1041
2016-09-09,2029,12971,9.11,32,1211,179,30,20,849
